carrier,node,time_operation,carbon_emissions_carrier
nitrogen,DE26,9,0.0
nitrogen,DE26,10,0.0
nitrogen,DE26,11,0.0
nitrogen,DE26,12,0.0
nitrogen,DE26,13,0.0
nitrogen,DE27,0,0.0
nitrogen,DE27,1,0.0
nitrogen,DE27,2,0.0
nitrogen,DE27,3,0.0
nitrogen,DE27,4,0.0
nitrogen,DE27,5,0.0
nitrogen,DE27,6,0.0
nitrogen,DE27,7,0.0
nitrogen,DE27,8,0.0
nitrogen,DE27,9,0.0
nitrogen,DE27,10,0.0
nitrogen,DE27,11,0.0
nitrogen,DE27,12,0.0
nitrogen,DE27,13,0.0
nitrogen,DE30,0,0.0
nitrogen,DE30,1,0.0
nitrogen,DE30,2,0.0
nitrogen,DE30,3,0.0
nitrogen,DE30,4,0.0
nitrogen,DE30,5,0.0
nitrogen,DE30,6,0.0
nitrogen,DE30,7,0.0
nitrogen,DE30,8,0.0
nitrogen,DE30,9,0.0
nitrogen,DE30,10,0.0
nitrogen,DE30,11,0.0
nitrogen,DE30,12,0.0
nitrogen,DE30,13,0.0
nitrogen,DE40,0,0.0
nitrogen,DE40,1,0.0
nitrogen,DE40,2,0.0
nitrogen,DE40,3,0.0
nitrogen,DE40,4,0.0
nitrogen,DE40,5,0.0
nitrogen,DE40,6,0.0
nitrogen,DE40,7,0.0
nitrogen,DE40,8,0.0
nitrogen,DE40,9,0.0
nitrogen,DE40,10,0.0
nitrogen,DE40,11,0.0
nitrogen,DE40,12,0.0
nitrogen,DE40,13,0.0
nitrogen,DE50,0,0.0
nitrogen,DE50,1,0.0
nitrogen,DE50,2,0.0
nitrogen,DE50,3,0.0
nitrogen,DE50,4,0.0
nitrogen,DE50,5,0.0
nitrogen,DE50,6,0.0
nitrogen,DE50,7,0.0
nitrogen,DE50,8,0.0
nitrogen,DE50,9,0.0
nitrogen,DE50,10,0.0
nitrogen,DE50,11,0.0
nitrogen,DE50,12,0.0
nitrogen,DE50,13,0.0
nitrogen,DE60,0,0.0
nitrogen,DE60,1,0.0
nitrogen,DE60,2,0.0
nitrogen,DE60,3,0.0
nitrogen,DE60,4,0.0
nitrogen,DE60,5,0.0
nitrogen,DE60,6,0.0
nitrogen,DE60,7,0.0
nitrogen,DE60,8,0.0
nitrogen,DE60,9,0.0
nitrogen,DE60,10,0.0
nitrogen,DE60,11,0.0
nitrogen,DE60,12,0.0
nitrogen,DE60,13,0.0
nitrogen,DE71,0,0.0
nitrogen,DE71,1,0.0
nitrogen,DE71,2,0.0
nitrogen,DE71,3,0.0
nitrogen,DE71,4,0.0
nitrogen,DE71,5,0.0
nitrogen,DE71,6,0.0
nitrogen,DE71,7,0.0
