id_eigl;public_data;country;name;location;company;capacity_mwe;start_year;eigl_process;eigl_text_lon;eigl_text_lat;x;y
310;YES;Germany;E-CO2MET Raffinerie Mitteldeutschland;Total Raffinerie Mitteldeutschland;;0.72;2021;Solid oxide electrolysis cells;11.9852;51.2813;1334186.3610999994;6671204.089900002
311;YES;Germany;Kopernikus 2.0;;;1;2021;Solid oxide electrolysis cells;0;0;0;0
312;YES;Germany;REFHYNE;Shell Rhineland refinery in Wesseling;;10;2020;Proton exchange membrane electrolysis;7.005799999999999;50.81400000000001;779882.0885999985;6588458.191299997
313;YES;Germany;Salzgitter Clean Hydrogen project;Salzgitter;;2.2;2020;Proton exchange membrane electrolysis;7.182900000000001;50.7909;799596.7703999989;6584389.368699998
314;YES;Germany;eFarm;Bosbüll;;1.125;2020;Proton exchange membrane electrolysis;8.9235;54.58559999999999;993359.4761000015;7281851.366899997
315;YES;Germany;Maximator;Nordhausen;;2.5;2020;Proton exchange membrane electrolysis;10.7925;51.493399999999994;1201415.6044000015;6709038.941600002
316;YES;Germany;PtG-Fehndorf;Fehndorf/Wesuwe;;2;2020;Other or unknown;7.207900000000001;52.757000000000005;802379.7577;6938175.380199999
317;YES;Germany;Leuchtturmprojekt Power-to-Gas Baden-Württemberg;Wyhlen hydroelectric power station;;1.3;2020;Proton exchange membrane electrolysis;7.7082;47.538900000000005;858072.8988999985;6030484.192100003
318;YES;Germany;GrInHy2.0;Salzgitter;;0.72;2020;Solid oxide electrolysis cells;10.3593;52.1504;1153192.0009999983;6827365.5211
319;YES;Germany;Falkenhagen STORE&GO;Falkenhagen;;0.2;2019;Proton exchange membrane electrolysis;14.317599999999999;52.430800000000005;1593827.941399999;6878397.600699998
320;YES;Germany;Stromlückenfüller 2nd phase;Reußenköge;;0.2;2019;Proton exchange membrane electrolysis;8.9227;54.599399999999996;993270.4204999991;7284502.801399998
321;YES;Germany;Kopernikus;;;0.01;2019;Solid oxide electrolysis cells;0;0;0;0
322;YES;Germany;Hypos - Sunfire;Bitterfeld-Wolfen Chemical Park;;0.18;2019;Solid oxide electrolysis cells;12.3064;51.6249;1369942.181499999;6732584.665299997
323;YES;Germany;Wind to gas Brunsbüttel;Brunsbüttel;;2.4;2018;Proton exchange membrane electrolysis;9.1734;53.8899;1021178.2168000005;7149332.185500003
324;YES;Germany;Rostock, Exytron Demonstrationsanlage;Rostock;;0;2018;Alkaline electrolysis;12.1056;54.0981;1347589.2276999988;7188757.194799997
325;YES;Germany;MicroPyros, Altenstant;Weilheim-Schongau;;0;2018;Other or unknown;12.627299999999998;48.900099999999995;1405664.6061000004;6257927.422700003
326;YES;Germany;Methanation at Eichhof;Bad Hersfeld;;0.05;2018;Proton exchange membrane electrolysis;9.6757;50.848999999999975;1077093.9970999993;6594626.910400003
327;YES;Germany;Carbon2Chem;Duisburg;;2;2018;Proton exchange membrane electrolysis;6.7283;51.494699999999995;748990.9299000017;6709271.380199999
328;YES;Germany;H&R Ölwerke Hamburg-Neuhof;Hamburg-Neuhof;;5;2017;Proton exchange membrane electrolysis;9.9529;53.5148;1107951.7599;7078795.540100001
329;YES;Germany;Alzey, Exytron Null-E;Alzey;;0.0625;2017;Alkaline electrolysis;8.5687;50.131099999999996;953863.3207999989;6469011.083700001
330;YES;Germany;Wyhlen hydroelectric power plant;Wyhlen;ENERGIEDIENST, ENBW Group, Center For Solar Energy;1;2017;Alkaline electrolysis;7.708499999999998;47.5391;858106.2947999984;6030517.171300001
331;YES;Germany;Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE);Erlangen;;0;2017;Proton exchange membrane electrolysis;11.030399999999998;49.57079999999999;1227898.5111999996;6372275.097900003
332;YES;Germany;Windgas Haurup, 1st phase;Haurup;;0.225;2016;Proton exchange membrane electrolysis;9.347099999999998;54.72659999999999;1040514.4123999998;7308984.530500002
333;YES;Germany;Hassfurt;Haßfurt;;1.25;2016;Proton exchange membrane electrolysis;10.5168;50.0343;1170724.820799999;6452218.1171
334;YES;Germany;HPEM2GAS (R&D);Emden;;0.2;2016;Proton exchange membrane electrolysis;7.206600000000001;53.35919999999999;802235.0423999988;7049718.565399997
335;YES;Germany;Power to flex (several pilot projects);;;0;2016;Other or unknown;0;0;0;0
336;YES;Germany;H2ORIZON;Lampoldshausen;;1;2015;Proton exchange membrane electrolysis;9.3995;49.2642;1046347.5537;6319810.087399997
337;YES;Germany;Hamburg - Schnackenburgallee;Schnackenburgallee;;0.185;2015;Proton exchange membrane electrolysis;9.918099999999999;53.57999999999999;1104077.8416000009;7091011.209899999
338;YES;Germany;Energiepark Mainz;Energiepark Mainz;Mainzer Stadtwerke & Linde Group;6;2015;Proton exchange membrane electrolysis;8.2537;49.9447;918797.6812000014;6436704.3574
339;YES;Germany;Stromlückenfüller 1st phase;Reußenköge;;0.02;2015;Proton exchange membrane electrolysis;8.919499999999998;54.605399999999996;992914.1981000006;7285655.879299998
340;YES;Germany;MEFCO2;Niederaussem power plant;;1;2014;Proton exchange membrane electrolysis;6.6737;50.993100000000005;742912.8856999986;6620073.283399999
341;YES;Germany;H2BER (Berlin airport);Hanau, Wolfgang Industrial Park;;0.5;2014;Alkaline electrolysis;8.966200000000002;50.118900000000004;998112.8183999993;6466892.745899998
342;YES;Germany;Hanau, Wolfgang Industrial Park;Berlin Airport;;0.03;2014;Proton exchange membrane electrolysis;8.966200000000002;50.118900000000004;998112.8183999993;6466892.745899998
343;YES;Germany;MicroPyros, Staubing;Staubing;;0;2014;Other or unknown;12.6294;48.9002;1405898.3770000003;6257944.356700003
344;YES;Germany;HYPOS (Leipzig);Chemiepark Bitterfeld-Wolfen;;1.25;2013;Other or unknown;12.267399999999999;51.655499999999996;1365600.7214000002;6738073.529100001
345;YES;Germany;Windgas Haurup, 1st phase;Haurup;;1;2013;Proton exchange membrane electrolysis;9.347099999999998;54.72659999999999;1040514.4123999998;7308984.530500002
346;YES;Germany;RH2 Grapzow, Mecklenburg Vorpommern;Grapzow;;1;2013;Alkaline electrolysis;13.2891;53.712500000000006;1479335.8451000005;7115894.172200002
347;YES;Germany;RWE PtG plant Ibbenbüren;Ibbenbüren;;0.15;2013;Proton exchange membrane electrolysis;7.749799999999998;52.28600000000001;862703.7897000015;6852004.041699998
348;YES;Germany;PtG plant Hamburg-Reitbrook;Reitbrook;;1.5;2013;Proton exchange membrane electrolysis;10.138299999999997;53.4668;1128590.3935000002;7069814.416299999
349;YES;Germany;ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas);52.87052007173832, 7.674475495643964;;6;2013;Alkaline electrolysis;7.674500000000001;52.87050000000001;854321.4321000017;6959079.757100001
350;YES;Germany;Uniper/E-ON WindGas Falkenhagen Hydrogen Pilot Project;Falkenhagen;;2;2013;Alkaline electrolysis;12.2346;53.19959999999999;1361949.4420999996;7020004.199000001
351;YES;Germany;MicrobEnergy GmbH, Schwandorf;49.302709908474895, 12.08200688048149;;0.18;2013;Proton exchange membrane electrolysis;12.082;49.302699999999994;1344962.0877999999;6326380.203299999
352;YES;Germany;CO2RRECT-Niederaussem;Niederaussem power plant;;0.33;2013;Proton exchange membrane electrolysis;6.6737;50.993100000000005;742912.8856999986;6620073.283399999
353;YES;Germany;H2Move, Fraunhofer ISE;Freiburg;;0.04;2013;Proton exchange membrane electrolysis;7.835000000000001;48.009299999999996;872188.2104000002;6108402.1630000025
354;YES;Germany;P2G plant Erdgas Schwaben;Schwaben;;1;2013;Proton exchange membrane electrolysis;10.471299999999998;48.1531;1165659.7839000002;6132363.118900001
355;YES;Germany;H2Herten;Herten;;0.165;2012;Alkaline electrolysis;7.1351;51.59550000000001;794275.6988000013;6727314.5370000005
356;YES;Germany;Cotbus;Cottbus;;0.12;2012;Alkaline electrolysis;14.3357;51.756699999999995;1595842.8242000006;6756252.681599997
357;YES;Germany;H2 research center BTU Cottbus;Cottbus;;0.14;2012;Alkaline electrolysis;14.3357;51.756699999999995;1595842.8242000006;6756252.681599997
358;YES;Germany;Eucolino Schwandorf;Schwandorf;;0;2012;Other or unknown;12.1093;49.32620000000001;1348001.1099000014;6330393.056900002
359;YES;Germany;Hamburg Hafen City, CEP;HafenCity;;0.6;2011;Alkaline electrolysis;9.995799999999997;53.54290000000001;1112727.3660999984;7084057.9617
360;YES;Germany;Hybrid Power Plant Enertrag, Prenzlau;Prenzlau;;0.5;2011;Alkaline electrolysis;13.892899999999997;53.3383;1546550.5535999984;7045821.077
361;YES;Germany;EnBW H2 station, Stuttgart;Stuttgart;;0.3;2011;Alkaline electrolysis;9.2018;48.79059999999999;1024339.6904000007;6239404.998400003
362;YES;Germany;Regenerativer Energipark Ostfalia/hybrid renewable energy park (HREP);Salzdahlumer Str. 46/48, 38302 Wolfenbüttel, Alemania;;0.006;2009;Alkaline electrolysis;10.5499;52.1766;1174409.4959000014;6832120.2029
363;YES;Germany;Etzel, Salt caverns;Etzel;;0;2007;Other or unknown;7.9036;53.45359999999999;879824.7274000011;7067346.387900002
364;YES;Germany;HyWindBalance, Oldenburg;Oldenburg;;0.006;2006;Alkaline electrolysis;8.2146;53.139;914445.0890999995;7008750.6603000015
365;YES;Germany;Get H2 Lingen;Emsland;;105;2023;Other or unknown;7.329;52.5403;815860.5480000004;6898414.453199998
366;YES;Germany;Green Hydro Chem;Leuna;;100;2030;Other or unknown;11.94;51.49489999999999;1329154.7201000005;6709307.140600003
367;YES;Germany;HySynGas;Brunsbüttel;;50;unknown;Proton exchange membrane electrolysis;9.1882;53.8991;1022825.7452999987;7151070.153700002
368;YES;Germany;Lingen Green Hydrogen;Lingen;;60;2024;Other or unknown;7.3123;52.5589;814001.5124999993;6901819.534100004
369;YES;Germany;Bad Rappenau;Bad Rappenau, Buchäckerring 40;Air Liquide;0;2017;Other or unknown;9.0776;49.2119;1010513.8095999993;6310893.1752
