uid;city;state;country;iso3;country_code;region;sub_region;accuracy;status;plant_type;primary_production_type;primary_product;capacity;capacity_source;year;owner_permid;owner_name;owner_source;parent_permid;parent_name;ownership_stake;parent_lei;parent_holding_status;parent_ticker;parent_exchange;parent_permid_2;parent_name_2;ownership_stake_2;parent_lei_2;parent_holding_status_2;parent_ticker_2;parent_exchange_2;parent_exchange_3;name;permit_id;site_name;facility_name;installation_name;installationpart_name;site_inspire_id;facility_inspire_id;installation_inspire_id;installation_part_inspire_id;eigl_text_lon;eigl_text_lat;x;y
GASTAUT0008;Donawitz;Steiermark;Austria;AUT;40;Europe;Western Europe;Exact;Operating;Integrated;BF;Crude Steel;1.65;https://www.voestalpine.com/stahldonawitz/en/products-and-technologies/production/steel-production/;0;5000038424;voestalpine Stahl Donawitz GmbH;https://www.voestalpine.com/stahldonawitz/en/company/location/;4295858976;voestalpine AG;0;529900ZAXBMQDIWPNB72;Public;VOE;VIE;;;0;;;;;;voestalpine Schienen GmbH;IVA257;voestalpine Schienen GmbH;voestalpine Schienen GmbH;Walzwerk;0;AT.CAED/9008390420522.SITE;AT.CAED/9008391207375.FACILITY;AT.CAED/9008391212553.INSTALLATION;0;15.061899999999998;47.381799999999984;1676683.0384000018;6004617.746600002
GASTAUT0009;Kematen an der Ybbs;Niederösterreich;Austria;AUT;40;Europe;Western Europe;Exact;Operating;;;;0;;0;4298049361;voestalpine Precision Strip GmbH;https://www.voestalpine.com/precision-strip/company/locations-worldwide/austria/locations;4295858976;voestalpine AG;0;529900ZAXBMQDIWPNB72;Public;VOE;VIE;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;14.7929;48.06430000000001;1646738.0954000019;6117558.737999998
GASTAUT0010;Biberbach;Niederösterreich;Austria;AUT;40;Europe;Western Europe;Exact;Operating;;;;0;;0;4298049361;voestalpine Precision Strip GmbH;https://www.voestalpine.com/precision-strip/company/locations-worldwide/austria/locations;4295858976;voestalpine AG;0;529900ZAXBMQDIWPNB72;Public;VOE;VIE;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;14.7398;47.9897;1640827.0304000005;6105141.4529
GASTAUT0011;Mürzzuschlag;Steiermark;Austria;AUT;40;Europe;Western Europe;Exact;Operating;;;;0;;0;;Voestalpine BÖHLER Bleche GmbH;https://www.voestalpine.com/search/en/#?category=locations&format=list&ccontinent=europe&ccountry=austria;4295858976;voestalpine AG;0;529900ZAXBMQDIWPNB72;Public;VOE;VIE;;;0;;;;;;voestalpine BÖHLER Bleche GmbH & Co KG;IES285;Böhler Mürzzuschlag;voestalpine Böhler Bleche GmbH & Co KG;Beizerei;0;AT.CAED/9008390387504.SITE;AT.CAED/9008390969649.FACILITY;AT.CAED/9008391231318.INSTALLATION;0;15.6663;47.60149999999999;1743964.5386000015;6040812.844899997
GASTAZE0001;Bakı;;Azerbaijan;AZE;31;Asia;Western Asia;Exact;Operating;Mini-Mill;EAF;Crude Steel;1;https://www.bakusteel.com/en/who-we-are/company-profile/;2001;5040196031;Baku Steel Company;http://www.bakusteel.com/en/home/;5040196031;Baku Steel Company;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;49.886399999999995;40.43069999999999;5553328.645500001;4928729.2491
GASTBEL0001;Genk;Vlaanderen;Belgium;BEL;56;Europe;Western Europe;Exact;Operating;Mini-Mill;EAF;Crude Steel;0;;0;5000047720;Aperam Stainless Belgium NV;https://www.aperam.com/belgium;5001428593;Aperam SA;0;5493001136GE6L4R7M63;Public;APAM;AEX;;;0;;;;;;Aperam Stainless Belgium;VL202;Aperam Stainless Belgium;APERAM GENK;Aperam Stainless Belgium oppervlaktebehandeling;0;https://data.ied_registry.omgeving.vlaanderen.be/id/productionsite/BE.VL.000000424.SITE;https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000424.FACILITY;https://data.ied_registry.omgeving.vlaanderen.be/id/productioninstallation/BE.VL.000001579.INSTALLATION;0;5.5098;50.935700000000004;613348.1303999983;6609927.668899998
GASTBEL0002;Châtelet;Wallonie;Belgium;BEL;56;Europe;Western Europe;Exact;Operating;Mini-Mill;EAF;Crude Steel;0;;0;5000047720;Aperam Stainless Belgium NV;https://www.aperam.com/belgium;5001428593;Aperam SA;0;5493001136GE6L4R7M63;Public;APAM;AEX;;;0;;;;;;Aperam Stainless Belgium S.A.;WAI313P150;APERAM STAINLESS BELGIUM SA;APERAM STAINLESS BELGIUM SA;Coulée continue;0;BE.WA/146000000.SITE;BE.WA/146010000.FACILITY;BE.WA/146010200.INSTALLATION;0;4.531999999999999;50.414699999999996;504499.9323000014;6518406.748400003
GASTBEL0003;Charleroi;Wallonie;Belgium;BEL;56;Europe;Western Europe;Exact;Operating;Mini-Mill;EAF;Crude Steel;0.25;https://industeel.arcelormittal.com/wp-content/uploads/2021/04/Industeel-the-right-steel-to-the-right-place-Sept-2019.pdf;0;4296306422;Industeel Belgium SA;https://industeel.arcelormittal.com/industeel/where-we-are/;5000030092;ArcelorMittal SA;0;2EULGUTUI56JI9SAL165;Public;MT;AEX;;;0;;;;;;Industeel Acierie Electrique;WAI068P102;INDUSTEEL BELGIUM S.A.;INDUSTEEL BELGIUM S.A.;Laminage à chaud de métaux ferreux;0;BE.WA/012000000.SITE;BE.WA/012010000.FACILITY;BE.WA/012010300.INSTALLATION;0;4.416199999999999;50.40979999999999;491609.1352000013;6517550.792999998
GASTBEL0004;Genk;Vlaanderen;Belgium;BEL;56;Europe;Western Europe;Exact;Operating;Downstream;Galvanizing;Finished Products;0.36;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-be.pdf;0;5000060650;ArcelorMittal Belgium SA;https://flateurope.arcelormittal.com/ourmills/be/genk;5000030092;ArcelorMittal SA;0;2EULGUTUI56JI9SAL165;Public;MT;AEX;;;0;;;;;;0;0;ArcelorMittal Belgium - Sikel;ARCELORMITTAL GENK-FLAT CARBON STEEL;ArcelorMittal Belgium - Sikel;0;https://data.ied_registry.omgeving.vlaanderen.be/id/productionsite/BE.VL.000000433.SITE;https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000433.FACILITY;https://data.ied_registry.omgeving.vlaanderen.be/id/productioninstallation/BE.VL.000000541.INSTALLATION;0;5.479699999999999;50.940799999999996;609997.4136999995;6610828.601300001
GASTBEL0005;Gent;Vlaanderen;Belgium;BEL;56;Europe;Western Europe;Exact;Operating;Integrated;BF;Crude Steel;3;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-be.pdf;0;5000060650;ArcelorMittal Belgium SA;https://flateurope.arcelormittal.com/ourmills/be/gent;5000030092;ArcelorMittal SA;0;2EULGUTUI56JI9SAL165;Public;MT;AEX;;;0;;;;;;ArcelorMittal Gent 1;VL201A;Arcelormittal Belgium;ARCELORMITTAL BELGIUM - GENT;Arcelormittal Belgium 810;0;https://data.ied_registry.omgeving.vlaanderen.be/id/productionsite/BE.VL.000000605.SITE;https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000605.FACILITY;https://data.ied_registry.omgeving.vlaanderen.be/id/productioninstallation/BE.VL.000000810.INSTALLATION;0;3.8076999999999988;51.17069999999998;423871.22509999946;6651544.3028
