node,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK
ME,672.5380647108382,1417.3142965037785,495.2455557438148,990.7369072331968,1523.157328895804,835.6118416160697,1146.131144597336,1641.9300034511211,1844.448840795537,461.1101423130925,1922.3175712254208,2478.6307854398156,1395.075046396071,252.25736521259398,491.71596647861645,2335.7000514802835,553.0718530109809,1450.6256636999765,1278.6993722912352,1645.4280344047258,0.0,241.77798333595243,875.0303104584439,1472.1464027144175,2180.8997410541365,1047.8784465027413,2313.3002812140494,575.9094751582056,206.14676739886062,2022.5069150403417,516.7468470508549,664.5225469741406,1968.289980981461
MK,900.9720919146164,1655.504719704538,324.8020114869984,1232.5043175924377,1281.4059372209103,1038.2733683808906,1370.1532385839187,1845.734598788515,1945.019227383113,247.51470854476514,2130.294852624866,2592.6114037711086,1634.4468488222553,493.4592986599808,651.0726664758708,2575.89933984793,773.1411463199976,1554.5958283016842,1517.649603861181,1734.1492242955912,241.77798333595243,0.0,900.9244476741652,1703.547262174138,2364.7501444888426,1194.812273385656,2522.488340276918,548.512387886546,305.6483298318515,2188.2637252625655,752.4713108584272,816.8228258080203,2205.849977778634
MT,1302.1634515528376,1818.2776442570594,1214.8671096811374,1334.2619566430726,1744.5289220520247,1544.1947576455502,1719.6502215930425,2273.416322649681,2685.153972185767,826.4023273472794,1655.3728153817797,3297.272016424638,1552.839535826545,894.2565921059796,1324.893128153739,2613.4834952932074,790.0114664737466,2294.0060659226683,1684.4468556368881,2498.309574941424,875.0303104584439,900.9244476741652,0.0,1951.3384972105687,2860.653752674203,1855.0850515574748,2024.9824297929104,1429.0255276467249,1080.2559311801997,2757.026583556459,1140.4902268568544,1489.2587100164963,2327.4909135936496
NL,802.7592155310336,196.08094534910836,1817.7778853944174,621.8593914294454,2954.4917541675422,735.8941638605378,354.16058383309695,479.66126066006166,1457.552197376478,1933.1162657452867,1506.9909011526918,1804.1665930742088,671.651431802241,1245.2920482396892,1143.749072823668,937.3223883861945,1170.7073550840967,1249.4402029909231,282.3909348633562,1428.0219010435376,1472.1464027144175,1703.547262174138,1951.3384972105687,0.0,1036.3287391966892,940.4798683438153,1765.0621213798688,1585.7731873259806,1436.8871233030102,1074.0499983338764,956.225749523616,1058.7260159606924,535.7380341332879
NO,1567.4095446669326,1229.9850714443648,2345.2654764955714,1607.333259886076,3451.2915596085186,1350.838700053045,1149.9169116218789,596.8492102172878,971.6786966122082,2612.255390187185,2505.5149468043496,927.9415930757708,1701.896036302159,2021.0199305464555,1714.0333504445005,1390.0297286148236,2075.213160381603,1088.9538554525627,1308.2743780537785,1112.1765687717934,2180.8997410541365,2364.7501444888426,2860.653752674203,1036.3287391966892,0.0,1200.9711227406765,2709.354735711993,2018.2287357831865,2059.8349370910764,290.3740336187104,1736.243643444376,1553.5656682074955,1133.3076619144513
PL,633.6565878770612,1039.1885050773994,1144.9412684819247,993.5783944636676,2255.8606436648515,392.63653953752157,637.2978656617328,790.1040211478488,840.9929710818046,1439.949864131734,2191.1403211681813,1442.9213775285887,1369.1930335003897,960.8686116243983,556.3051468798391,1859.6301062334953,1157.9672858833273,468.1934970351467,971.239872971142,685.3096693116189,1047.8784465027413,1194.812273385656,1855.0850515574748,940.4798683438153,1200.9711227406765,0.0,2526.560005593772,818.9926634750758,891.0885804508993,998.197894694735,749.4238813622101,383.6307310526622,1456.8897241744141
PT,1991.6518694375281,1583.1532633150214,2808.135770648029,1549.9805218018066,3704.800944990432,2158.051385915081,1920.0808036030676,2235.086774337856,3207.353806161865,2626.1356289866294,392.3492695558385,3559.270584258101,1160.8318849876587,2089.5589971343234,2366.8851031541435,1530.7244629730073,1760.8340458095417,2942.713151854934,1590.6006412185934,3144.496013775499,2313.3002812140494,2522.488340276918,2024.9824297929104,1765.0621213798688,2709.354735711993,2526.560005593772,0.0,2780.6179601635317,2439.8892287519943,2816.735966048824,1997.83187015174,2409.283575216915,1598.878024075946
RO,857.842775978209,1602.4436383901307,349.8737667573836,1300.0994272427781,1437.632947118979,849.9526310342239,1231.7060371293953,1582.5669649591448,1450.4898688474182,744.5542957400762,2398.1787694183686,2105.93619458069,1737.465534996306,717.3224794309739,457.85990393241457,2517.529838648988,1053.7379853084922,1074.5288716847017,1483.413290922324,1229.9465029447417,575.9094751582056,548.512387886546,1429.0255276467249,1585.7731873259806,2018.2287357831865,818.9926634750758,2780.6179601635317,0.0,379.6637440314785,1800.263407767041,794.5738274383318,530.7267298506828,2120.2640252876527
RS,639.9105040691235,1409.4654339943922,400.9393935010628,1029.1587163916943,1518.7295980186864,743.7330346636485,1093.1637069830847,1547.7989181673436,1660.8287176638657,552.952745160923,2052.412528537331,2302.455213143786,1455.693609284591,352.07402648448806,345.8078173740437,2335.633733064326,688.78910597802,1267.782034089456,1276.5280002432378,1456.3317835253063,206.14676739886062,305.6483298318515,1080.2559311801997,1436.8871233030102,2059.8349370910764,891.0885804508993,2439.8892287519943,379.6637440314785,0.0,1882.8554059749251,517.7641057103126,511.40215479600715,1953.8363466587984
SE,1454.9886007075797,1269.266607196455,2137.678867768964,1575.8632959314712,3221.1083732971483,1216.797871821364,1094.9323999781905,594.8548970337223,682.0655441011515,2434.8334106435295,2579.1507276194625,745.8870288347956,1743.5986287861667,1887.9947253935854,1539.6751201899706,1598.7917419442097,1986.4768121558834,816.8725191686893,1319.2197128454384,824.1870803798128,2022.5069150403417,2188.2637252625655,2757.026583556459,1074.0499983338764,290.3740336187104,998.197894694735,2816.735966048824,1800.263407767041,1882.8554059749251,0.0,1617.6593394917863,1371.466140705268,1294.039577998293
SI,170.35958789572157,903.4887728118157,918.403082532392,514.8442831546254,2024.278767687889,404.107254614416,640.1611785644303,1166.3780793250535,1590.0443905970055,977.1928441945325,1622.659032985365,2173.007461999383,948.3251048295622,295.65396154457267,371.2634250084435,1826.5187525941258,408.832496717176,1213.9628129370356,766.6700567943162,1429.3473433060283,516.7468470508549,752.4713108584272,1140.4902268568544,956.225749523616,1736.243643444376,749.4238813622101,1997.83187015174,794.5738274383318,517.7641057103126,1617.6593394917863,0.0,455.1887891282033,1453.4206893425596
SK,417.69792800060645,1090.4731797366685,809.2291310481842,866.0099081332728,1947.052737061839,324.55107323809614,705.8086763882973,1068.8766878410252,1196.0296362252075,1063.635373855627,2046.033510265411,1818.521757727688,1294.5237103189727,599.3830292934554,172.80660231889223,1994.0646402927869,848.6877610099014,804.9389264099482,981.7389251654433,1012.0521010639725,664.5225469741406,816.8228258080203,1489.2587100164963,1058.7260159606924,1553.5656682074955,383.6307310526622,2409.283575216915,530.7267298506828,511.40215479600715,1371.466140705268,455.1887891282033,0.0,1594.2955468886566
UK,1314.053572328389,551.3167400415118,2342.2756471713574,1019.8784271323715,3472.212656548703,1270.9032431247472,888.8502766923123,798.7580921011066,1835.2866070693156,2425.363131844797,1451.9472501086261,2034.6439367776363,814.588829501731,1728.4675112249,1674.3670262119952,403.7221317057068,1589.4640285533362,1703.8951202797077,691.3726088311572,1854.6943235339347,1968.289980981461,2205.849977778634,2327.4909135936496,535.7380341332879,1133.3076619144513,1456.8897241744141,1598.878024075946,2120.2640252876527,1953.8363466587984,1294.039577998293,1453.4206893425596,1594.2955468886566,0.0
